,Home_Team,Away_Team,Result,Link,Season,Round,League
0,B. Mönchengladbach,Bayern München,1-1,https://www.besoccer.com/match/borussia-monchengla/bayern-munchen/202215543,2022,1,bundesliga
1,Wolfsburg,VfL Bochum,1-0,https://www.besoccer.com/match/wolfsburg/bochum/202215545,2022,1,bundesliga
2,Union Berlin,B. Leverkusen,1-1,https://www.besoccer.com/match/1-fc-union-berlin/bayer-leverkusen/202215546,2022,1,bundesliga
3,Stuttgart,Greuther Fürth,5-1,https://www.besoccer.com/match/stuttgart/greuther-furth/202215547,2022,1,bundesliga
4,FC Augsburg,Hoffenheim,0-4,https://www.besoccer.com/match/fc-augsburg/tsg-1899-hoffenheim/202215549,2022,1,bundesliga
5,Arminia Bielefeld,SC Freiburg,0-0,https://www.besoccer.com/match/arminia-bielefeld/sc-freiburg/202215550,2022,1,bundesliga
6,B. Dortmund,Eintracht Frankfurt,5-2,https://www.besoccer.com/match/borussia-dortmund/eintracht-frankfurt/202215544,2022,1,bundesliga
7,Mainz 05,RB Leipzig,1-0,https://www.besoccer.com/match/mainz-amat/rb-leipzig/202215548,2022,1,bundesliga
8,Köln,Hertha BSC,3-1,https://www.besoccer.com/match/1-fc-koln/hertha-bsc/202215551,2022,1,bundesliga
9,RB Leipzig,Stuttgart,4-0,https://www.besoccer.com/match/rb-leipzig/stuttgart/202215553,2022,2,bundesliga
10,Eintracht Frankfurt,FC Augsburg,0-0,https://www.besoccer.com/match/eintracht-frankfurt/fc-augsburg/202215554,2022,2,bundesliga
11,SC Freiburg,B. Dortmund,2-1,https://www.besoccer.com/match/sc-freiburg/borussia-dortmund/202215556,2022,2,bundesliga
12,Hertha BSC,Wolfsburg,1-2,https://www.besoccer.com/match/hertha-bsc/wolfsburg/202215558,2022,2,bundesliga
13,VfL Bochum,Mainz 05,2-0,https://www.besoccer.com/match/bochum/mainz-amat/202215559,2022,2,bundesliga
14,Greuther Fürth,Arminia Bielefeld,1-1,https://www.besoccer.com/match/greuther-furth/arminia-bielefeld/202215560,2022,2,bundesliga
15,B. Leverkusen,B. Mönchengladbach,4-0,https://www.besoccer.com/match/bayer-leverkusen/borussia-monchengla/202215555,2022,2,bundesliga
16,Hoffenheim,Union Berlin,2-2,https://www.besoccer.com/match/tsg-1899-hoffenheim/1-fc-union-berlin/202215557,2022,2,bundesliga
17,Bayern München,Köln,3-2,https://www.besoccer.com/match/bayern-munchen/1-fc-koln/202215552,2022,2,bundesliga
18,B. Dortmund,Hoffenheim,3-2,https://www.besoccer.com/match/borussia-dortmund/tsg-1899-hoffenheim/202215562,2022,3,bundesliga
19,Stuttgart,SC Freiburg,2-3,https://www.besoccer.com/match/stuttgart/sc-freiburg/202215565,2022,3,bundesliga
20,Mainz 05,Greuther Fürth,3-0,https://www.besoccer.com/match/mainz-amat/greuther-furth/202215566,2022,3,bundesliga
21,FC Augsburg,B. Leverkusen,1-4,https://www.besoccer.com/match/fc-augsburg/bayer-leverkusen/202215567,2022,3,bundesliga
22,Arminia Bielefeld,Eintracht Frankfurt,1-1,https://www.besoccer.com/match/arminia-bielefeld/eintracht-frankfurt/202215568,2022,3,bundesliga
23,Köln,VfL Bochum,2-1,https://www.besoccer.com/match/1-fc-koln/bochum/202215569,2022,3,bundesliga
24,Bayern München,Hertha BSC,5-0,https://www.besoccer.com/match/bayern-munchen/hertha-bsc/202215561,2022,3,bundesliga
25,Union Berlin,B. Mönchengladbach,2-1,https://www.besoccer.com/match/1-fc-union-berlin/borussia-monchengla/202215564,2022,3,bundesliga
26,Wolfsburg,RB Leipzig,1-0,https://www.besoccer.com/match/wolfsburg/rb-leipzig/202215563,2022,3,bundesliga
27,B. Leverkusen,B. Dortmund,3-4,https://www.besoccer.com/match/bayer-leverkusen/borussia-dortmund/202215572,2022,4,bundesliga
28,Union Berlin,FC Augsburg,0-0,https://www.besoccer.com/match/1-fc-union-berlin/fc-augsburg/202215573,2022,4,bundesliga
29,SC Freiburg,Köln,1-1,https://www.besoccer.com/match/sc-freiburg/1-fc-koln/202215575,2022,4,bundesliga
30,Hoffenheim,Mainz 05,0-2,https://www.besoccer.com/match/tsg-1899-hoffenheim/mainz-amat/202215576,2022,4,bundesliga
31,Greuther Fürth,Wolfsburg,0-2,https://www.besoccer.com/match/greuther-furth/wolfsburg/202215578,2022,4,bundesliga
32,RB Leipzig,Bayern München,1-4,https://www.besoccer.com/match/rb-leipzig/bayern-munchen/202215570,2022,4,bundesliga
33,Eintracht Frankfurt,Stuttgart,1-1,https://www.besoccer.com/match/eintracht-frankfurt/stuttgart/202215571,2022,4,bundesliga
34,VfL Bochum,Hertha BSC,1-3,https://www.besoccer.com/match/bochum/hertha-bsc/202215577,2022,4,bundesliga
35,B. Mönchengladbach,Arminia Bielefeld,3-1,https://www.besoccer.com/match/borussia-monchengla/arminia-bielefeld/202215574,2022,4,bundesliga
36,Hertha BSC,Greuther Fürth,2-1,https://www.besoccer.com/match/hertha-bsc/greuther-furth/202215585,2022,5,bundesliga
37,Bayern München,VfL Bochum,7-0,https://www.besoccer.com/match/bayern-munchen/bochum/202215579,2022,5,bundesliga
38,Mainz 05,SC Freiburg,0-0,https://www.besoccer.com/match/mainz-amat/sc-freiburg/202215583,2022,5,bundesliga
39,FC Augsburg,B. Mönchengladbach,1-0,https://www.besoccer.com/match/fc-augsburg/borussia-monchengla/202215584,2022,5,bundesliga
40,Arminia Bielefeld,Hoffenheim,0-0,https://www.besoccer.com/match/arminia-bielefeld/tsg-1899-hoffenheim/202215586,2022,5,bundesliga
41,Köln,RB Leipzig,1-1,https://www.besoccer.com/match/1-fc-koln/rb-leipzig/202215587,2022,5,bundesliga
42,Stuttgart,B. Leverkusen,1-3,https://www.besoccer.com/match/stuttgart/bayer-leverkusen/202215582,2022,5,bundesliga
43,B. Dortmund,Union Berlin,4-2,https://www.besoccer.com/match/borussia-dortmund/1-fc-union-berlin/202215580,2022,5,bundesliga
44,Wolfsburg,Eintracht Frankfurt,1-1,https://www.besoccer.com/match/wolfsburg/eintracht-frankfurt/202215581,2022,5,bundesliga
45,Greuther Fürth,Bayern München,1-3,https://www.besoccer.com/match/greuther-furth/bayern-munchen/202215596,2022,6,bundesliga
46,RB Leipzig,Hertha BSC,6-0,https://www.besoccer.com/match/rb-leipzig/hertha-bsc/202215588,2022,6,bundesliga
47,Eintracht Frankfurt,Köln,1-1,https://www.besoccer.com/match/eintracht-frankfurt/1-fc-koln/202215589,2022,6,bundesliga
48,B. Leverkusen,Mainz 05,1-0,https://www.besoccer.com/match/bayer-leverkusen/mainz-amat/202215590,2022,6,bundesliga
49,Union Berlin,Arminia Bielefeld,1-0,https://www.besoccer.com/match/1-fc-union-berlin/arminia-bielefeld/202215591,2022,6,bundesliga
50,Hoffenheim,Wolfsburg,3-1,https://www.besoccer.com/match/tsg-1899-hoffenheim/wolfsburg/202215594,2022,6,bundesliga
51,B. Mönchengladbach,B. Dortmund,1-0,https://www.besoccer.com/match/borussia-monchengla/borussia-dortmund/202215592,2022,6,bundesliga
52,VfL Bochum,Stuttgart,0-0,https://www.besoccer.com/match/bochum/stuttgart/202215595,2022,6,bundesliga
53,SC Freiburg,FC Augsburg,3-0,https://www.besoccer.com/match/sc-freiburg/fc-augsburg/202215593,2022,6,bundesliga
54,Köln,Greuther Fürth,3-1,https://www.besoccer.com/match/1-fc-koln/greuther-furth/202215605,2022,7,bundesliga
