,Home_Team,Away_Team,Result,Link,Season,Round,League
0,Den Bosch,Helmond Sport,2-0,https://www.besoccer.com/match/fc-den-bosch/helmond-sport/20222632,2022,1,eerste_divisie
1,Dordrecht,Jong PSV,1-1,https://www.besoccer.com/match/fc-dordrecht/jong-psv/20222633,2022,1,eerste_divisie
2,FC Eindhoven,FC Volendam,2-2,https://www.besoccer.com/match/fc-eindhoven/fc-volendam/20222634,2022,1,eerste_divisie
3,Excelsior,TOP Oss,0-1,https://www.besoccer.com/match/excelsior/fc-oss/20222635,2022,1,eerste_divisie
4,SC Telstar,Emmen,1-1,https://www.besoccer.com/match/stormvogels-telstar/emmen/20222636,2022,1,eerste_divisie
5,De Graafschap,Roda JC,0-3,https://www.besoccer.com/match/graafschap/roda-jc/20222637,2022,1,eerste_divisie
6,ADO Den Haag,Jong Ajax,2-0,https://www.besoccer.com/match/ado-den-haag/jong-ajax/20222638,2022,1,eerste_divisie
7,VVV Venlo,NAC Breda,2-2,https://www.besoccer.com/match/vvv/nac-breda/20222639,2022,1,eerste_divisie
8,Jong AZ,Almere City,2-1,https://www.besoccer.com/match/az-alkmaar-sub23/almere-city/20222640,2022,1,eerste_divisie
9,Jong Utrecht,MVV Maastricht,0-1,https://www.besoccer.com/match/jong-utrecht/mvv/20222641,2022,1,eerste_divisie
10,Almere City,Jong Utrecht,1-1,https://www.besoccer.com/match/almere-city/jong-utrecht/20222642,2022,2,eerste_divisie
11,NAC Breda,SC Telstar,2-2,https://www.besoccer.com/match/nac-breda/stormvogels-telstar/20222643,2022,2,eerste_divisie
12,Emmen,FC Eindhoven,0-1,https://www.besoccer.com/match/emmen/fc-eindhoven/20222644,2022,2,eerste_divisie
13,TOP Oss,VVV Venlo,2-1,https://www.besoccer.com/match/fc-oss/vvv/20222645,2022,2,eerste_divisie
14,FC Volendam,ADO Den Haag,1-3,https://www.besoccer.com/match/fc-volendam/ado-den-haag/20222646,2022,2,eerste_divisie
15,Helmond Sport,Jong AZ,1-2,https://www.besoccer.com/match/helmond-sport/az-alkmaar-sub23/20222647,2022,2,eerste_divisie
16,MVV Maastricht,De Graafschap,1-3,https://www.besoccer.com/match/mvv/graafschap/20222648,2022,2,eerste_divisie
17,Roda JC,Excelsior,1-2,https://www.besoccer.com/match/roda-jc/excelsior/20222649,2022,2,eerste_divisie
18,Jong Ajax,Dordrecht,1-2,https://www.besoccer.com/match/jong-ajax/fc-dordrecht/20222650,2022,2,eerste_divisie
19,Jong PSV,Den Bosch,0-1,https://www.besoccer.com/match/jong-psv/fc-den-bosch/20222651,2022,2,eerste_divisie
20,De Graafschap,NAC Breda,2-0,https://www.besoccer.com/match/graafschap/nac-breda/20222652,2022,3,eerste_divisie
21,Den Bosch,Jong Ajax,2-3,https://www.besoccer.com/match/fc-den-bosch/jong-ajax/20222653,2022,3,eerste_divisie
22,ADO Den Haag,Emmen,1-2,https://www.besoccer.com/match/ado-den-haag/emmen/20222654,2022,3,eerste_divisie
23,Dordrecht,Jong Utrecht,2-2,https://www.besoccer.com/match/fc-dordrecht/jong-utrecht/20222655,2022,3,eerste_divisie
