,Home_Team,Away_Team,Result,Link,Season,Round,League
0,Bastia,Nîmes,1-1,https://www.besoccer.com/match/bastia/nimes-olympique/202215978,2022,1,ligue_2
1,Amiens SC,Auxerre,1-2,https://www.besoccer.com/match/amiens-sc/auxerre/202215977,2022,1,ligue_2
2,Caen,Rodez,4-0,https://www.besoccer.com/match/caen/rodez/202215979,2022,1,ligue_2
3,Dunkerque,Quevilly-Rouen,1-1,https://www.besoccer.com/match/dunkerque/quevilly/202215981,2022,1,ligue_2
4,Grenoble,Paris FC,0-4,https://www.besoccer.com/match/grenoble-foot-38/paris-sg/202215982,2022,1,ligue_2
5,Le Havre,Guingamp,0-0,https://www.besoccer.com/match/havre-ac/guingamp/202215983,2022,1,ligue_2
6,Pau FC,Nancy,2-1,https://www.besoccer.com/match/pau/nancy/202215984,2022,1,ligue_2
7,Toulouse,Ajaccio,2-2,https://www.besoccer.com/match/toulouse-fc/ajaccio/202215985,2022,1,ligue_2
8,Valenciennes,Niort,0-0,https://www.besoccer.com/match/valenciennes-afc/chamois-niortais/202215986,2022,1,ligue_2
9,Dijon FCO,Sochaux,1-3,https://www.besoccer.com/match/dijon-fco/sochaux/202215980,2022,1,ligue_2
10,Nîmes,Dijon FCO,2-1,https://www.besoccer.com/match/nimes-olympique/dijon-fco/202215991,2022,2,ligue_2
11,Ajaccio,Amiens SC,3-1,https://www.besoccer.com/match/ajaccio/amiens-sc/202215987,2022,2,ligue_2
12,Guingamp,Valenciennes,1-1,https://www.besoccer.com/match/guingamp/valenciennes-afc/202215989,2022,2,ligue_2
13,Nancy,Toulouse,0-4,https://www.besoccer.com/match/nancy/toulouse-fc/202215990,2022,2,ligue_2
14,Niort,Caen,0-1,https://www.besoccer.com/match/chamois-niortais/caen/202215992,2022,2,ligue_2
15,Paris FC,Dunkerque,2-1,https://www.besoccer.com/match/paris-sg/dunkerque/202215993,2022,2,ligue_2
16,Rodez,Pau FC,1-0,https://www.besoccer.com/match/rodez/pau/202215995,2022,2,ligue_2
17,Sochaux,Le Havre,0-2,https://www.besoccer.com/match/sochaux/havre-ac/202215996,2022,2,ligue_2
18,Auxerre,Grenoble,3-0,https://www.besoccer.com/match/auxerre/grenoble-foot-38/202215988,2022,2,ligue_2
19,Quevilly-Rouen,Bastia,1-2,https://www.besoccer.com/match/quevilly/bastia/202215994,2022,2,ligue_2
20,Caen,Sochaux,1-2,https://www.besoccer.com/match/caen/sochaux/202216000,2022,3,ligue_2
21,Amiens SC,Quevilly-Rouen,1-3,https://www.besoccer.com/match/amiens-sc/quevilly/202215997,2022,3,ligue_2
22,Auxerre,Ajaccio,0-0,https://www.besoccer.com/match/auxerre/ajaccio/202215998,2022,3,ligue_2
23,Dijon FCO,Rodez,1-1,https://www.besoccer.com/match/dijon-fco/rodez/202216001,2022,3,ligue_2
24,Dunkerque,Niort,1-2,https://www.besoccer.com/match/dunkerque/chamois-niortais/202216002,2022,3,ligue_2
25,Grenoble,Guingamp,0-0,https://www.besoccer.com/match/grenoble-foot-38/guingamp/202216003,2022,3,ligue_2
26,Le Havre,Paris FC,1-2,https://www.besoccer.com/match/havre-ac/paris-sg/202216004,2022,3,ligue_2
27,Pau FC,Toulouse,0-1,https://www.besoccer.com/match/pau/toulouse-fc/202216005,2022,3,ligue_2
28,Valenciennes,Nîmes,0-3,https://www.besoccer.com/match/valenciennes-afc/nimes-olympique/202216006,2022,3,ligue_2
29,Bastia,Nancy,1-1,https://www.besoccer.com/match/bastia/nancy/202215999,2022,3,ligue_2
30,Toulouse,Bastia,1-0,https://www.besoccer.com/match/toulouse-fc/bastia/202216016,2022,4,ligue_2
31,Guingamp,Amiens SC,0-2,https://www.besoccer.com/match/guingamp/amiens-sc/202216008,2022,4,ligue_2
32,Nancy,Valenciennes,0-1,https://www.besoccer.com/match/nancy/valenciennes-afc/202216009,2022,4,ligue_2
33,Nîmes,Pau FC,0-0,https://www.besoccer.com/match/nimes-olympique/pau/202216010,2022,4,ligue_2
34,Niort,Grenoble,1-0,https://www.besoccer.com/match/chamois-niortais/grenoble-foot-38/202216011,2022,4,ligue_2
35,Quevilly-Rouen,Dijon FCO,2-1,https://www.besoccer.com/match/quevilly/dijon-fco/202216013,2022,4,ligue_2
36,Rodez,Le Havre,0-0,https://www.besoccer.com/match/rodez/havre-ac/202216014,2022,4,ligue_2
37,Sochaux,Dunkerque,1-0,https://www.besoccer.com/match/sochaux/dunkerque/202216015,2022,4,ligue_2
38,Paris FC,Auxerre,1-1,https://www.besoccer.com/match/paris-sg/auxerre/202216012,2022,4,ligue_2
39,Ajaccio,Caen,2-0,https://www.besoccer.com/match/ajaccio/caen/202216007,2022,4,ligue_2
40,Dijon FCO,Toulouse,2-4,https://www.besoccer.com/match/dijon-fco/toulouse-fc/202216021,2022,5,ligue_2
41,Amiens SC,Sochaux,0-0,https://www.besoccer.com/match/amiens-sc/sochaux/202216018,2022,5,ligue_2
42,Caen,Nancy,1-0,https://www.besoccer.com/match/caen/nancy/202216020,2022,5,ligue_2
43,Dunkerque,Nîmes,0-2,https://www.besoccer.com/match/dunkerque/nimes-olympique/202216022,2022,5,ligue_2
44,Grenoble,Quevilly-Rouen,2-0,https://www.besoccer.com/match/grenoble-foot-38/quevilly/202216023,2022,5,ligue_2
45,Le Havre,Niort,2-1,https://www.besoccer.com/match/havre-ac/chamois-niortais/202216024,2022,5,ligue_2
46,Pau FC,Bastia,2-0,https://www.besoccer.com/match/pau/bastia/202216025,2022,5,ligue_2
47,Valenciennes,Rodez,1-4,https://www.besoccer.com/match/valenciennes-afc/rodez/202216026,2022,5,ligue_2
48,Auxerre,Guingamp,1-2,https://www.besoccer.com/match/auxerre/guingamp/202216019,2022,5,ligue_2
49,Ajaccio,Paris FC,1-0,https://www.besoccer.com/match/ajaccio/paris-sg/202216017,2022,5,ligue_2
50,Nîmes,Caen,0-0,https://www.besoccer.com/match/nimes-olympique/caen/202216030,2022,6,ligue_2
51,Toulouse,Valenciennes,1-0,https://www.besoccer.com/match/toulouse-fc/valenciennes-afc/202216036,2022,6,ligue_2
52,Bastia,Le Havre,0-0,https://www.besoccer.com/match/bastia/havre-ac/202216027,2022,6,ligue_2
53,Guingamp,Ajaccio,1-1,https://www.besoccer.com/match/guingamp/ajaccio/202216028,2022,6,ligue_2
54,Nancy,Auxerre,1-4,https://www.besoccer.com/match/nancy/auxerre/202216029,2022,6,ligue_2
