,Home_Team,Away_Team,Result,Link,Season,Round,League
0,Academico Viseu,Casa Pia,2-1,https://www.besoccer.com/match/academico-viseu/casa-pia/202235039,2022,1,segunda_liga
1,Varzim,Chaves,2-2,https://www.besoccer.com/match/varzim/chaves/202235040,2022,1,segunda_liga
2,Porto II,Trofense,2-2,https://www.besoccer.com/match/porto-ii/trofense/202235041,2022,1,segunda_liga
3,Feirense,SC Covilha,1-2,https://www.besoccer.com/match/feirense/sporting-covilha/202235036,2022,1,segunda_liga
4,CF Estrela,Mafra,0-2,https://www.besoccer.com/match/cf-estrela-de-amadora/mafra/202235042,2022,1,segunda_liga
5,Rio Ave,Académica,5-1,https://www.besoccer.com/match/rio-ave/academica/202235035,2022,1,segunda_liga
6,Benfica II,Nacional,5-0,https://www.besoccer.com/match/benfica-ii/nacional/202235037,2022,1,segunda_liga
7,Vilafranquense,Penafiel,0-1,https://www.besoccer.com/match/vilafranquense/penafiel/202235043,2022,1,segunda_liga
8,Leixões,Farense,3-1,https://www.besoccer.com/match/leixoes/farense/202235038,2022,1,segunda_liga
9,Trofense,CF Estrela,0-0,https://www.besoccer.com/match/trofense/cf-estrela-de-amadora/202235103,2022,2,segunda_liga
10,Académica,Varzim,1-1,https://www.besoccer.com/match/academica/varzim/202235092,2022,2,segunda_liga
11,Casa Pia,Porto II,2-0,https://www.besoccer.com/match/casa-pia/porto-ii/202235096,2022,2,segunda_liga
12,Mafra,Feirense,0-1,https://www.besoccer.com/match/mafra/feirense/202235098,2022,2,segunda_liga
13,Farense,Rio Ave,1-1,https://www.besoccer.com/match/farense/rio-ave/202235090,2022,2,segunda_liga
14,Penafiel,Benfica II,0-1,https://www.besoccer.com/match/penafiel/benfica-ii/202235095,2022,2,segunda_liga
15,Nacional,Vilafranquense,4-0,https://www.besoccer.com/match/nacional/vilafranquense/202235091,2022,2,segunda_liga
16,SC Covilha,Academico Viseu,2-1,https://www.besoccer.com/match/sporting-covilha/academico-viseu/202235100,2022,2,segunda_liga
17,Chaves,Leixões,1-1,https://www.besoccer.com/match/chaves/leixoes/202235093,2022,2,segunda_liga
18,CF Estrela,Farense,3-1,https://www.besoccer.com/match/cf-estrela-de-amadora/farense/202235125,2022,3,segunda_liga
19,Penafiel,Casa Pia,1-0,https://www.besoccer.com/match/penafiel/casa-pia/202235107,2022,3,segunda_liga
20,Varzim,Rio Ave,0-3,https://www.besoccer.com/match/varzim/rio-ave/202235120,2022,3,segunda_liga
21,Leixões,Académica,2-1,https://www.besoccer.com/match/leixoes/academica/202235113,2022,3,segunda_liga
22,Porto II,Nacional,1-1,https://www.besoccer.com/match/porto-ii/nacional/202235122,2022,3,segunda_liga
23,Benfica II,Trofense,2-1,https://www.besoccer.com/match/benfica-ii/trofense/202235109,2022,3,segunda_liga
24,Academico Viseu,Mafra,1-3,https://www.besoccer.com/match/academico-viseu/mafra/202235117,2022,3,segunda_liga
25,Feirense,Chaves,3-1,https://www.besoccer.com/match/feirense/chaves/202235105,2022,3,segunda_liga
26,Vilafranquense,SC Covilha,1-1,https://www.besoccer.com/match/vilafranquense/sporting-covilha/202235124,2022,3,segunda_liga
27,Chaves,Academico Viseu,3-0,https://www.besoccer.com/match/chaves/academico-viseu/202235132,2022,4,segunda_liga
28,Casa Pia,Benfica II,4-2,https://www.besoccer.com/match/casa-pia/benfica-ii/202235134,2022,4,segunda_liga
29,Rio Ave,Leixões,2-1,https://www.besoccer.com/match/rio-ave/leixoes/202235126,2022,4,segunda_liga
30,Nacional,Varzim,2-1,https://www.besoccer.com/match/nacional/varzim/202235129,2022,4,segunda_liga
31,SC Covilha,Porto II,1-2,https://www.besoccer.com/match/sporting-covilha/porto-ii/202235138,2022,4,segunda_liga
32,Farense,Feirense,0-1,https://www.besoccer.com/match/farense/feirense/202235127,2022,4,segunda_liga
33,Mafra,Vilafranquense,1-0,https://www.besoccer.com/match/mafra/vilafranquense/202235136,2022,4,segunda_liga
