,Home Team,Away Team,Link,Season,Round,League
1,Almere City,Excelsior,https://www.besoccer.com/match/almere-city/excelsior/20222952,2022,33,eerste_divisie
2,NAC Breda,Jong Ajax,https://www.besoccer.com/match/nac-breda/jong-ajax/20222953,2022,33,eerste_divisie
3,De Graafschap,Emmen,https://www.besoccer.com/match/graafschap/emmen/20222954,2022,33,eerste_divisie
4,Dordrecht,FC Eindhoven,https://www.besoccer.com/match/fc-dordrecht/fc-eindhoven/20222955,2022,33,eerste_divisie
5,FC Volendam,TOP Oss,https://www.besoccer.com/match/fc-volendam/fc-oss/20222956,2022,33,eerste_divisie
6,Helmond Sport,MVV Maastricht,https://www.besoccer.com/match/helmond-sport/mvv/20222957,2022,33,eerste_divisie
7,Jong AZ,Jong PSV,https://www.besoccer.com/match/az-alkmaar-sub23/jong-psv/20222958,2022,33,eerste_divisie
8,Roda JC,Jong Utrecht,https://www.besoccer.com/match/roda-jc/jong-utrecht/20222959,2022,33,eerste_divisie
9,SC Telstar,Den Bosch,https://www.besoccer.com/match/stormvogels-telstar/fc-den-bosch/20222960,2022,33,eerste_divisie
10,VVV Venlo,ADO Den Haag,https://www.besoccer.com/match/vvv/ado-den-haag/20222961,2022,33,eerste_divisie
