Home Team,Away Team,Link,Season,Round,League
Lorient,Saint-Étienne,https://www.besoccer.com/match/lorient/saint-etienne/202216062,2022,31,ligue_1
Stade de Reims,Stade Rennais,https://www.besoccer.com/match/stade-reims/stade-rennes/202216071,2022,31,ligue_1
Clermont,PSG,https://www.besoccer.com/match/clermont-foot/paris-saint-germain-fc/202216057,2022,31,ligue_1
Girondins Bordeaux,Metz,https://www.besoccer.com/match/bordeaux/metz/202216050,2022,31,ligue_1
Angers SCO,Lille,https://www.besoccer.com/match/angers-sco/lillestrom/202216049,2022,31,ligue_1
Stade Brestois,Nantes,https://www.besoccer.com/match/stade-brestois-29/nantes/202216053,2022,31,ligue_1
Monaco,Troyes,https://www.besoccer.com/match/monaco/troyes/202216068,2022,31,ligue_1
Lens,Nice,https://www.besoccer.com/match/lens/nice/202216060,2022,31,ligue_1
Strasbourg,Olympique Lyonnais,https://www.besoccer.com/match/strasbourg/olympique-lyonnais/202216075,2022,31,ligue_1
Olympique Marseille,Montpellier,https://www.besoccer.com/match/olympique-marsella/montpellier-hsc/202216065,2022,31,ligue_1
