,Home_Team,Away_Team,Link,Season,Round,League
0,Toulouse,Quevilly-Rouen,https://www.besoccer.com/match/toulouse-fc/quevilly/202217092,2022,33,ligue_2
1,Pau FC,Auxerre,https://www.besoccer.com/match/pau/auxerre/202217090,2022,33,ligue_2
2,Bastia,Guingamp,https://www.besoccer.com/match/bastia/guingamp/202217084,2022,33,ligue_2
3,Caen,Amiens SC,https://www.besoccer.com/match/caen/amiens-sc/202217085,2022,33,ligue_2
4,Dijon FCO,Ajaccio,https://www.besoccer.com/match/dijon-fco/ajaccio/202217086,2022,33,ligue_2
5,Dunkerque,Grenoble,https://www.besoccer.com/match/dunkerque/grenoble-foot-38/202217087,2022,33,ligue_2
6,Nancy,Niort,https://www.besoccer.com/match/nancy/chamois-niortais/202217088,2022,33,ligue_2
7,Nîmes,Sochaux,https://www.besoccer.com/match/nimes-olympique/sochaux/202217089,2022,33,ligue_2
8,Rodez,Paris FC,https://www.besoccer.com/match/rodez/paris-sg/202217091,2022,33,ligue_2
9,Valenciennes,Le Havre,https://www.besoccer.com/match/valenciennes-afc/havre-ac/202217093,2022,33,ligue_2
