,Home_Team,Away_Team,Link,Season,Round,League
0,Eibar,Las Palmas,https://www.besoccer.com/match/eibar/ud-palmas/202221408,2022,36,segunda_division
1,SD Amorebieta,Mirandés,https://www.besoccer.com/match/amorebieta/mirandes/202221395,2022,36,segunda_division
2,Leganés,Málaga,https://www.besoccer.com/match/leganes/malaga/202221420,2022,36,segunda_division
3,Real Valladolid,Almería,https://www.besoccer.com/match/valladolid/almeria/202221430,2022,36,segunda_division
4,Real Sporting,Real Oviedo,https://www.besoccer.com/match/sporting-gijon/real-oviedo/202221427,2022,36,segunda_division
5,FC Cartagena,Alcorcón,https://www.besoccer.com/match/cartagena/ad-alcorcon/202221401,2022,36,segunda_division
6,Ponferradina,Lugo,https://www.besoccer.com/match/ponferradina-sd/lugo/202221423,2022,36,segunda_division
7,Burgos,UD Ibiza,https://www.besoccer.com/match/burgos-cf/ibiza-eivissa/202221398,2022,36,segunda_division
8,Huesca,Real Zaragoza,https://www.besoccer.com/match/huesca/real-zaragoza/202221415,2022,36,segunda_division
9,Tenerife,Fuenlabrada,https://www.besoccer.com/match/tenerife/fuenlabrada/202221428,2022,36,segunda_division
10,Girona,R. Sociedad B,https://www.besoccer.com/match/girona-fc/real-sociedad-b/202221414,2022,36,segunda_division
