,Home_Team,Away_Team,Link,Season,Round,League
0,US Alessandria,Pordenone,https://www.besoccer.com/match/us-alessandria-1912/pordenone/202296441,2022,34,serie_b
1,Como,Cittadella,https://www.besoccer.com/match/como/as-cittadella/202296445,2022,34,serie_b
2,Lecce,SPAL,https://www.besoccer.com/match/lecce/spal-1907/202296448,2022,34,serie_b
3,Frosinone,Cremonese,https://www.besoccer.com/match/frosinone-calcio/us-cremonese/202296447,2022,34,serie_b
4,Benevento,Vicenza,https://www.besoccer.com/match/benevento-calcio/vicenza-calcio/202296443,2022,34,serie_b
5,Ascoli,Reggina,https://www.besoccer.com/match/ascoli/reggina/202296442,2022,34,serie_b
6,Crotone,Ternana Calcio,https://www.besoccer.com/match/fc-crotone/ternana-calcio/202296446,2022,34,serie_b
7,Nuova Cosenza,AC Monza,https://www.besoccer.com/match/nuova-cosenza/ac-monza-brianza-1912/2022149042,2022,34,serie_b
8,Perugia,Pisa SC,https://www.besoccer.com/match/perugia/pisa-calcio/202296449,2022,34,serie_b
9,Brescia,Parma,https://www.besoccer.com/match/brescia/parma-fc/202296444,2022,34,serie_b
