Home Team,Away Team,Link,Season,Round,League
Cremonese,US Alessandria,https://www.besoccer.com/match/us-cremonese/us-alessandria-1912/202296433,2022,33,serie_b
Pordenone,Frosinone,https://www.besoccer.com/match/pordenone/frosinone-calcio/202296437,2022,33,serie_b
Reggina,Benevento,https://www.besoccer.com/match/reggina/benevento-calcio/202296438,2022,33,serie_b
Ternana Calcio,Lecce,https://www.besoccer.com/match/ternana-calcio/lecce/202296439,2022,33,serie_b
SPAL,Cosenza,https://www.besoccer.com/match/spal-1907/nuova-cosenza/2022149032,2022,33,serie_b
Parma,Como,https://www.besoccer.com/match/parma-fc/como/202296435,2022,33,serie_b
Cittadella,Perugia,https://www.besoccer.com/match/as-cittadella/perugia/202296432,2022,33,serie_b
AC Monza,Ascoli,https://www.besoccer.com/match/ac-monza-brianza-1912/ascoli/202296434,2022,33,serie_b
Pisa SC,Brescia,https://www.besoccer.com/match/pisa-calcio/brescia/202296436,2022,33,serie_b
Vicenza,Crotone,https://www.besoccer.com/match/vicenza-calcio/fc-crotone/202296440,2022,33,serie_b
