,Home_Team,Away_Team,Result,Link,Season,Round,League
0,Almere City,RBC Roosendaal,3-1,https://www.besoccer.com/match/almere-city/rbc/20118684,2011,1,eerste_divisie
1,FC Eindhoven,RKC Waalwijk,0-0,https://www.besoccer.com/match/fc-eindhoven/rkc-waalwijk/20118685,2011,1,eerste_divisie
2,SC Telstar,BV Veendam ,1-1,https://www.besoccer.com/match/stormvogels-telstar/veendam/20118686,2011,1,eerste_divisie
3,Den Bosch,Helmond Sport,0-1,https://www.besoccer.com/match/fc-den-bosch/helmond-sport/20118687,2011,1,eerste_divisie
4,MVV Maastricht,FC Volendam,2-2,https://www.besoccer.com/match/mvv/fc-volendam/20118688,2011,1,eerste_divisie
5,Emmen,PEC Zwolle,0-3,https://www.besoccer.com/match/emmen/fc-zwolle/20118689,2011,1,eerste_divisie
6,Dordrecht,Cambuur,0-1,https://www.besoccer.com/match/fc-dordrecht/sc-cambuur-leeuwarden/20118690,2011,1,eerste_divisie
7,AGOVV Apeldoorn,Fortuna Sittard,3-1,https://www.besoccer.com/match/agovv-apeldoorn/fortuna-sittard/20118691,2011,1,eerste_divisie
8,Go Ahead Eagles,Sparta Rotterdam,1-2,https://www.besoccer.com/match/go-ahead-eagles/sparta-rotterdam/20118692,2011,1,eerste_divisie
9,BV Veendam ,Go Ahead Eagles,1-4,https://www.besoccer.com/match/veendam/go-ahead-eagles/20118700,2011,2,eerste_divisie
10,Helmond Sport,AGOVV Apeldoorn,1-0,https://www.besoccer.com/match/helmond-sport/agovv-apeldoorn/20118693,2011,2,eerste_divisie
11,RKC Waalwijk,SC Telstar,3-0,https://www.besoccer.com/match/rkc-waalwijk/stormvogels-telstar/20118694,2011,2,eerste_divisie
12,RBC Roosendaal,FC Eindhoven,1-2,https://www.besoccer.com/match/rbc/fc-eindhoven/20118695,2011,2,eerste_divisie
13,Sparta Rotterdam,Almere City,12-1,https://www.besoccer.com/match/sparta-rotterdam/almere-city/20118696,2011,2,eerste_divisie
14,Fortuna Sittard,Den Bosch,0-4,https://www.besoccer.com/match/fortuna-sittard/fc-den-bosch/20118697,2011,2,eerste_divisie
15,Cambuur,Emmen,2-1,https://www.besoccer.com/match/sc-cambuur-leeuwarden/emmen/20118698,2011,2,eerste_divisie
