,Home_Team,Away_Team,Result,Link,Season,Round,League
0,Nacional,Chaves,3-0,https://www.besoccer.com/match/nacional/chaves/202051597,2020,1,segunda_liga
1,Varzim,UD Oliveirense,0-0,https://www.besoccer.com/match/varzim/ud-oliveirense/202051620,2020,1,segunda_liga
2,Farense,Casa Pia,3-1,https://www.besoccer.com/match/farense/casa-pia/202051617,2020,1,segunda_liga
3,Mafra,Cova Piedade,3-2,https://www.besoccer.com/match/mafra/cova-piedade/202051621,2020,1,segunda_liga
4,Académica,Leixões,3-2,https://www.besoccer.com/match/academica/leixoes/202051614,2020,1,segunda_liga
5,Feirense,Vilafranquense,2-0,https://www.besoccer.com/match/feirense/vilafranquense/202051613,2020,1,segunda_liga
6,SP. Covilhã,Porto II,2-0,https://www.besoccer.com/match/sporting-covilha/porto-ii/202051615,2020,1,segunda_liga
7,Penafiel,Academico Viseu,0-2,https://www.besoccer.com/match/penafiel/academico-viseu/202051590,2020,1,segunda_liga
8,Benfica II,Estoril,2-1,https://www.besoccer.com/match/benfica-ii/estoril/202051619,2020,1,segunda_liga
9,Academico Viseu,Académica,0-0,https://www.besoccer.com/match/academico-viseu/academica/2020116665,2020,2,segunda_liga
10,UD Oliveirense,SP. Covilhã,0-2,https://www.besoccer.com/match/ud-oliveirense/sporting-covilha/2020116666,2020,2,segunda_liga
11,Chaves,Mafra,2-1,https://www.besoccer.com/match/chaves/mafra/2020116659,2020,2,segunda_liga
12,Casa Pia,Penafiel,1-2,https://www.besoccer.com/match/casa-pia/penafiel/2020116667,2020,2,segunda_liga
13,Estoril,Farense,1-2,https://www.besoccer.com/match/estoril/farense/2020116660,2020,2,segunda_liga
14,Porto II,Varzim,1-1,https://www.besoccer.com/match/porto-ii/varzim/2020116661,2020,2,segunda_liga
15,Leixões,Nacional,1-1,https://www.besoccer.com/match/leixoes/nacional/2020116662,2020,2,segunda_liga
16,Cova Piedade,Feirense,2-1,https://www.besoccer.com/match/cova-piedade/feirense/2020116663,2020,2,segunda_liga
17,Vilafranquense,Benfica II,4-0,https://www.besoccer.com/match/vilafranquense/benfica-ii/2020116664,2020,2,segunda_liga
18,Benfica II,UD Oliveirense,2-1,https://www.besoccer.com/match/benfica-ii/ud-oliveirense/2020116670,2020,3,segunda_liga
19,Académica,Chaves,1-2,https://www.besoccer.com/match/academica/chaves/2020116673,2020,3,segunda_liga
20,Feirense,Academico Viseu,0-0,https://www.besoccer.com/match/feirense/academico-viseu/202071326,2020,3,segunda_liga
21,SP. Covilhã,Vilafranquense,1-0,https://www.besoccer.com/match/sporting-covilha/vilafranquense/2020116671,2020,3,segunda_liga
22,Penafiel,Cova Piedade,3-0,https://www.besoccer.com/match/penafiel/cova-piedade/2020116672,2020,3,segunda_liga
23,Farense,Porto II,1-3,https://www.besoccer.com/match/farense/porto-ii/2020116676,2020,3,segunda_liga
24,Nacional,Mafra,0-0,https://www.besoccer.com/match/nacional/mafra/2020116668,2020,3,segunda_liga
25,Casa Pia,Estoril,0-1,https://www.besoccer.com/match/casa-pia/estoril/2020116674,2020,3,segunda_liga
26,Varzim,Leixões,0-1,https://www.besoccer.com/match/varzim/leixoes/2020116675,2020,3,segunda_liga
27,Leixões,Feirense,2-2,https://www.besoccer.com/match/leixoes/feirense/2020116681,2020,4,segunda_liga
28,Porto II,Casa Pia,0-0,https://www.besoccer.com/match/porto-ii/casa-pia/2020116679,2020,4,segunda_liga
29,Vilafranquense,Nacional,1-2,https://www.besoccer.com/match/vilafranquense/nacional/2020116680,2020,4,segunda_liga
30,Cova Piedade,Benfica II,2-0,https://www.besoccer.com/match/cova-piedade/benfica-ii/2020116682,2020,4,segunda_liga
31,Estoril,Varzim,3-1,https://www.besoccer.com/match/estoril/varzim/2020116678,2020,4,segunda_liga
32,Mafra,Académica,1-0,https://www.besoccer.com/match/mafra/academica/2020116683,2020,4,segunda_liga
33,UD Oliveirense,Farense,0-1,https://www.besoccer.com/match/ud-oliveirense/farense/2020116685,2020,4,segunda_liga
34,Chaves,Penafiel,2-1,https://www.besoccer.com/match/chaves/penafiel/2020116677,2020,4,segunda_liga
35,Academico Viseu,SP. Covilhã,1-3,https://www.besoccer.com/match/academico-viseu/sporting-covilha/2020116684,2020,4,segunda_liga
36,Benfica II,Academico Viseu,0-0,https://www.besoccer.com/match/benfica-ii/academico-viseu/2020116687,2020,5,segunda_liga
37,Estoril,Porto II,2-1,https://www.besoccer.com/match/estoril/porto-ii/2020116686,2020,5,segunda_liga
38,Varzim,Cova Piedade,2-1,https://www.besoccer.com/match/varzim/cova-piedade/2020116694,2020,5,segunda_liga
39,Feirense,Chaves,1-0,https://www.besoccer.com/match/feirense/chaves/2020116690,2020,5,segunda_liga
40,Farense,Vilafranquense,3-0,https://www.besoccer.com/match/farense/vilafranquense/2020116691,2020,5,segunda_liga
41,Académica,Nacional,1-2,https://www.besoccer.com/match/academica/nacional/2020116692,2020,5,segunda_liga
42,SP. Covilhã,Leixões,2-3,https://www.besoccer.com/match/sporting-covilha/leixoes/2020116688,2020,5,segunda_liga
43,Penafiel,Mafra,2-1,https://www.besoccer.com/match/penafiel/mafra/2020116689,2020,5,segunda_liga
44,Casa Pia,UD Oliveirense,1-3,https://www.besoccer.com/match/casa-pia/ud-oliveirense/2020116693,2020,5,segunda_liga
45,UD Oliveirense,Porto II,0-0,https://www.besoccer.com/match/ud-oliveirense/porto-ii/2020116702,2020,6,segunda_liga
46,Chaves,SP. Covilhã,2-3,https://www.besoccer.com/match/chaves/sporting-covilha/2020116695,2020,6,segunda_liga
47,Nacional,Penafiel,2-1,https://www.besoccer.com/match/nacional/penafiel/2020116696,2020,6,segunda_liga
48,Academico Viseu,Farense,1-0,https://www.besoccer.com/match/academico-viseu/farense/2020120790,2020,6,segunda_liga
49,Leixões,Benfica II,1-0,https://www.besoccer.com/match/leixoes/benfica-ii/2020116701,2020,6,segunda_liga
