,Home_Team,Away_Team,Result,Link,Season,Round,League
0,Olympique Lyonnais,Olympique,1-4,https://www.besoccer.com/match/olympique-lyonnais/olympique-marsella/19903107,1990,1,ligue_1
1,Montpellier,Cannes,4-1,https://www.besoccer.com/match/montpellier-hsc/as-cannes/19903108,1990,1,ligue_1
2,Toulouse,FC Mulhouse,3-0,https://www.besoccer.com/match/toulouse-fc/mulhouse/19903109,1990,1,ligue_1
3,Sporting Toulon,Saint-Étienne,2-0,https://www.besoccer.com/match/sporting-toulon/saint-etienne/19903110,1990,1,ligue_1
4,Nantes,Auxerre,2-1,https://www.besoccer.com/match/nantes/auxerre/19903111,1990,1,ligue_1
5,Lille,Caen,1-0,https://www.besoccer.com/match/lillestrom/caen/19903112,1990,1,ligue_1
6,Sochaux,Stade Brestois,1-0,https://www.besoccer.com/match/sochaux/stade-brestois-29/19903113,1990,1,ligue_1
7,Nice,PSG,3-3,https://www.besoccer.com/match/nice/paris-saint-germain-fc/19903114,1990,1,ligue_1
8,Metz,Girondins Bordeaux,0-0,https://www.besoccer.com/match/metz/bordeaux/19903115,1990,1,ligue_1
9,Racing Paris,Monaco,0-0,https://www.besoccer.com/match/racing-paris/monaco/19903116,1990,1,ligue_1
10,Stade Brestois,Lille,1-0,https://www.besoccer.com/match/stade-brestois-29/lillestrom/19903126,1990,2,ligue_1
11,Girondins Bordeaux,Racing Paris,4-0,https://www.besoccer.com/match/bordeaux/racing-paris/19903118,1990,2,ligue_1
12,Cannes,Sporting Toulon,0-0,https://www.besoccer.com/match/as-cannes/sporting-toulon/19903119,1990,2,ligue_1
13,PSG,Metz,1-0,https://www.besoccer.com/match/paris-saint-germain-fc/metz/19903120,1990,2,ligue_1
14,Monaco,Sochaux,2-1,https://www.besoccer.com/match/monaco/sochaux/19903121,1990,2,ligue_1
15,FC Mulhouse,Montpellier,2-0,https://www.besoccer.com/match/mulhouse/montpellier-hsc/19903122,1990,2,ligue_1
16,Olympique Lyonnais,Toulouse,3-0,https://www.besoccer.com/match/olympique-lyonnais/toulouse-fc/19903123,1990,2,ligue_1
17,Caen,Saint-Étienne,3-2,https://www.besoccer.com/match/caen/saint-etienne/19903124,1990,2,ligue_1
18,Auxerre,Nice,1-0,https://www.besoccer.com/match/auxerre/nice/19903125,1990,2,ligue_1
19,Olympique,Nantes,1-0,https://www.besoccer.com/match/olympique-marsella/nantes/19903117,1990,2,ligue_1
20,Lille,Monaco,1-1,https://www.besoccer.com/match/lillestrom/monaco/19903127,1990,3,ligue_1
21,Montpellier,Girondins Bordeaux,1-2,https://www.besoccer.com/match/montpellier-hsc/bordeaux/19903128,1990,3,ligue_1
22,Sporting Toulon,Caen,2-0,https://www.besoccer.com/match/sporting-toulon/caen/19903129,1990,3,ligue_1
23,Toulouse,Olympique,2-1,https://www.besoccer.com/match/toulouse-fc/olympique-marsella/19903130,1990,3,ligue_1
24,Nantes,Olympique Lyonnais,2-1,https://www.besoccer.com/match/nantes/olympique-lyonnais/19903131,1990,3,ligue_1
25,Sochaux,PSG,1-0,https://www.besoccer.com/match/sochaux/paris-saint-germain-fc/19903132,1990,3,ligue_1
