,Home_Team,Away_Team,Result,Link,Season,Round,League
0,SC Freamunde,Imortal,5-0,https://www.besoccer.com/match/sc-freamunde/imortal/20007793,2000,1,segunda_liga
1,SP. Covilhã,Varzim,0-1,https://www.besoccer.com/match/sporting-covilha/varzim/20007794,2000,1,segunda_liga
2,FC Felgueiras,Penafiel,0-2,https://www.besoccer.com/match/fc-felgueiras/penafiel/20007795,2000,1,segunda_liga
3,Desportivo Aves,Beira Mar SC,1-0,https://www.besoccer.com/match/desportivo-aves/beira-mar/20007796,2000,1,segunda_liga
4,Espinho,Moreirense,3-0,https://www.besoccer.com/match/espinho/moreirense-fc/20007797,2000,1,segunda_liga
5,Leça FC,Chaves,2-2,https://www.besoccer.com/match/leca/chaves/20007798,2000,1,segunda_liga
6,Uniao Lamas,Paços Ferreira,4-1,https://www.besoccer.com/match/uniao-lamas/pacos-ferreira/20007799,2000,1,segunda_liga
7,FC Maia,Esposende,1-0,https://www.besoccer.com/match/fc-maia/esposende/20007800,2000,1,segunda_liga
8,Naval,Académica,1-3,https://www.besoccer.com/match/naval/academica/20007801,2000,1,segunda_liga
9,Académica,SC Freamunde,2-2,https://www.besoccer.com/match/academica/sc-freamunde/20007792,2000,2,segunda_liga
10,Esposende,Naval,0-3,https://www.besoccer.com/match/esposende/naval/20007784,2000,2,segunda_liga
11,Imortal,SP. Covilhã,0-1,https://www.besoccer.com/match/imortal/sporting-covilha/20007785,2000,2,segunda_liga
12,Varzim,FC Felgueiras,1-2,https://www.besoccer.com/match/varzim/fc-felgueiras/20007786,2000,2,segunda_liga
13,Penafiel,Desportivo Aves,0-0,https://www.besoccer.com/match/penafiel/desportivo-aves/20007787,2000,2,segunda_liga
14,Beira Mar SC,Espinho,2-0,https://www.besoccer.com/match/beira-mar/espinho/20007788,2000,2,segunda_liga
15,Moreirense,Leça FC,0-0,https://www.besoccer.com/match/moreirense-fc/leca/20007789,2000,2,segunda_liga
16,Chaves,Uniao Lamas,2-1,https://www.besoccer.com/match/chaves/uniao-lamas/20007790,2000,2,segunda_liga
17,Paços Ferreira,FC Maia,3-2,https://www.besoccer.com/match/pacos-ferreira/fc-maia/20007791,2000,2,segunda_liga
18,Leça FC,Uniao Lamas,0-1,https://www.besoccer.com/match/leca/uniao-lamas/20007775,2000,3,segunda_liga
19,FC Maia,Chaves,3-0,https://www.besoccer.com/match/fc-maia/chaves/20007776,2000,3,segunda_liga
20,Naval,Paços Ferreira,1-1,https://www.besoccer.com/match/naval/pacos-ferreira/20007777,2000,3,segunda_liga
21,SC Freamunde,Esposende,2-2,https://www.besoccer.com/match/sc-freamunde/esposende/20007778,2000,3,segunda_liga
22,SP. Covilhã,Académica,1-1,https://www.besoccer.com/match/sporting-covilha/academica/20007779,2000,3,segunda_liga
23,FC Felgueiras,Imortal,1-1,https://www.besoccer.com/match/fc-felgueiras/imortal/20007780,2000,3,segunda_liga
24,Desportivo Aves,Varzim,0-0,https://www.besoccer.com/match/desportivo-aves/varzim/20007781,2000,3,segunda_liga
25,Espinho,Penafiel,0-1,https://www.besoccer.com/match/espinho/penafiel/20007782,2000,3,segunda_liga
26,Moreirense,Beira Mar SC,0-2,https://www.besoccer.com/match/moreirense-fc/beira-mar/20007783,2000,3,segunda_liga
27,Uniao Lamas,FC Maia,1-0,https://www.besoccer.com/match/uniao-lamas/fc-maia/20007767,2000,4,segunda_liga
28,Chaves,Naval,2-1,https://www.besoccer.com/match/chaves/naval/20007768,2000,4,segunda_liga
29,Paços Ferreira,SC Freamunde,1-1,https://www.besoccer.com/match/pacos-ferreira/sc-freamunde/20007769,2000,4,segunda_liga
30,Esposende,SP. Covilhã,2-0,https://www.besoccer.com/match/esposende/sporting-covilha/20007770,2000,4,segunda_liga
31,Académica,FC Felgueiras,0-1,https://www.besoccer.com/match/academica/fc-felgueiras/20007771,2000,4,segunda_liga
32,Imortal,Desportivo Aves,1-1,https://www.besoccer.com/match/imortal/desportivo-aves/20007772,2000,4,segunda_liga
33,Varzim,Espinho,2-1,https://www.besoccer.com/match/varzim/espinho/20007773,2000,4,segunda_liga
34,Penafiel,Moreirense,4-0,https://www.besoccer.com/match/penafiel/moreirense-fc/20007774,2000,4,segunda_liga
35,Beira Mar SC,Leça FC,3-0,https://www.besoccer.com/match/beira-mar/leca/20007766,2000,4,segunda_liga
36,Beira Mar SC,Penafiel,0-0,https://www.besoccer.com/match/beira-mar/penafiel/20007757,2000,5,segunda_liga
37,Leça FC,FC Maia,3-0,https://www.besoccer.com/match/leca/fc-maia/20007758,2000,5,segunda_liga
38,Naval,Uniao Lamas,1-1,https://www.besoccer.com/match/naval/uniao-lamas/20007759,2000,5,segunda_liga
39,SC Freamunde,Chaves,2-1,https://www.besoccer.com/match/sc-freamunde/chaves/20007760,2000,5,segunda_liga
40,SP. Covilhã,Paços Ferreira,1-1,https://www.besoccer.com/match/sporting-covilha/pacos-ferreira/20007761,2000,5,segunda_liga
41,FC Felgueiras,Esposende,1-0,https://www.besoccer.com/match/fc-felgueiras/esposende/20007762,2000,5,segunda_liga
42,Desportivo Aves,Académica,1-0,https://www.besoccer.com/match/desportivo-aves/academica/20007763,2000,5,segunda_liga
43,Espinho,Imortal,2-1,https://www.besoccer.com/match/espinho/imortal/20007764,2000,5,segunda_liga
44,Moreirense,Varzim,0-1,https://www.besoccer.com/match/moreirense-fc/varzim/20007765,2000,5,segunda_liga
45,Académica,Espinho,2-1,https://www.besoccer.com/match/academica/espinho/20007749,2000,6,segunda_liga
46,Imortal,Moreirense,1-2,https://www.besoccer.com/match/imortal/moreirense-fc/20007750,2000,6,segunda_liga
47,Penafiel,Leça FC,2-2,https://www.besoccer.com/match/penafiel/leca/20007751,2000,6,segunda_liga
48,FC Maia,Naval,2-4,https://www.besoccer.com/match/fc-maia/naval/20007752,2000,6,segunda_liga
49,Uniao Lamas,SC Freamunde,1-0,https://www.besoccer.com/match/uniao-lamas/sc-freamunde/20007753,2000,6,segunda_liga
50,Chaves,SP. Covilhã,2-0,https://www.besoccer.com/match/chaves/sporting-covilha/20007754,2000,6,segunda_liga
51,Paços Ferreira,FC Felgueiras,1-0,https://www.besoccer.com/match/pacos-ferreira/fc-felgueiras/20007755,2000,6,segunda_liga
52,Esposende,Desportivo Aves,0-0,https://www.besoccer.com/match/esposende/desportivo-aves/20007756,2000,6,segunda_liga
53,Varzim,Beira Mar SC,2-2,https://www.besoccer.com/match/varzim/beira-mar/20007748,2000,6,segunda_liga
54,Desportivo Aves,Paços Ferreira,0-1,https://www.besoccer.com/match/desportivo-aves/pacos-ferreira/20007739,2000,7,segunda_liga
55,Espinho,Esposende,2-1,https://www.besoccer.com/match/espinho/esposende/20007740,2000,7,segunda_liga
56,Moreirense,Académica,1-2,https://www.besoccer.com/match/moreirense-fc/academica/20007741,2000,7,segunda_liga
57,Beira Mar SC,Imortal,1-1,https://www.besoccer.com/match/beira-mar/imortal/20007742,2000,7,segunda_liga
58,Penafiel,Varzim,0-2,https://www.besoccer.com/match/penafiel/varzim/20007743,2000,7,segunda_liga
59,Leça FC,Naval,3-2,https://www.besoccer.com/match/leca/naval/20007744,2000,7,segunda_liga
60,SC Freamunde,FC Maia,0-0,https://www.besoccer.com/match/sc-freamunde/fc-maia/20007745,2000,7,segunda_liga
61,SP. Covilhã,Uniao Lamas,1-1,https://www.besoccer.com/match/sporting-covilha/uniao-lamas/20007746,2000,7,segunda_liga
62,FC Felgueiras,Chaves,0-5,https://www.besoccer.com/match/fc-felgueiras/chaves/20007747,2000,7,segunda_liga
63,Chaves,Desportivo Aves,0-1,https://www.besoccer.com/match/chaves/desportivo-aves/20007730,2000,8,segunda_liga
64,Paços Ferreira,Espinho,0-1,https://www.besoccer.com/match/pacos-ferreira/espinho/20007731,2000,8,segunda_liga
