ELO_DIFF,RECENT_PERF_DIFF,HOME_AWAY_GOAL_DIFF,Link,HOME_WIN,League
15,5,5,https://www.besoccer.com/match/hull-city/huddersfield-town-fc/202213336,0,championship
-18,-6,-6,https://www.besoccer.com/match/blackpool-fc/nottingham-forest-fc/202213332,0,championship
14,6,6,https://www.besoccer.com/match/afc-bournemouth/bristol-city-fc/202213329,1,championship
-10,3,3,https://www.besoccer.com/match/barnsley-fc/reading-fc/202213330,0,championship
-18,1,1,https://www.besoccer.com/match/cardiff-city-fc/swansea-city-afc/202213333,0,championship
-17,1,1,https://www.besoccer.com/match/coventry-city/blackburn-rovers-fc/202213334,0,championship
3,-1,-1,https://www.besoccer.com/match/derby-county-fc/preston-north-end/202213335,1,championship
-12,5,5,https://www.besoccer.com/match/luton-town-fc/millwall-fc/202213337,0,championship
-24,-1,-1,https://www.besoccer.com/match/peterborough-u/middlesbrough-fc/202213338,0,championship
-6,-2,-2,https://www.besoccer.com/match/queens-park-rangers-fc/fulham/202213339,0,championship
27,2,2,https://www.besoccer.com/match/stoke-city/sheffield-united/202213340,1,championship
-17,-3,-3,https://www.besoccer.com/match/birmingham-city-fc/west-bromwich/202213331,1,championship
-16,2,2,https://www.besoccer.com/match/almere-city/excelsior/20222952,0,eerste_divisie
5,-6,-6,https://www.besoccer.com/match/nac-breda/jong-ajax/20222953,0,eerste_divisie
4,-8,-8,https://www.besoccer.com/match/graafschap/emmen/20222954,1,eerste_divisie
-2,-2,-2,https://www.besoccer.com/match/fc-dordrecht/fc-eindhoven/20222955,0,eerste_divisie
13,1,1,https://www.besoccer.com/match/fc-volendam/fc-oss/20222956,0,eerste_divisie
-2,1,1,https://www.besoccer.com/match/helmond-sport/mvv/20222957,0,eerste_divisie
-13,1,1,https://www.besoccer.com/match/az-alkmaar-sub23/jong-psv/20222958,1,eerste_divisie
14,4,4,https://www.besoccer.com/match/roda-jc/jong-utrecht/20222959,0,eerste_divisie
-8,-1,-1,https://www.besoccer.com/match/stormvogels-telstar/fc-den-bosch/20222960,0,eerste_divisie
-8,-4,-4,https://www.besoccer.com/match/vvv/ado-den-haag/20222961,0,eerste_divisie
-12,4,4,https://www.besoccer.com/match/gil-vicente/moreirense-fc/202235372,0,primeira_liga
-3,3,3,https://www.besoccer.com/match/pacos-ferreira/maritimo/202235377,0,primeira_liga
52,-2,-2,https://www.besoccer.com/match/benfica/cf-os-belenenses-ii/202235376,1,primeira_liga
-6,0,0,https://www.besoccer.com/match/boavista/arouca/202235380,0,primeira_liga
-28,-8,-8,https://www.besoccer.com/match/tondela/sporting-lisbon/202235367,0,primeira_liga
4,-4,-4,https://www.besoccer.com/match/portimonense/famalicao/202235374,0,primeira_liga
-19,-3,-3,https://www.besoccer.com/match/santa-clara/estoril/202235379,1,primeira_liga
-14,-8,-8,https://www.besoccer.com/match/vitoria-guimaraes/fc-porto/202235369,0,primeira_liga
-32,0,0,https://www.besoccer.com/match/vizela/sporting-braga/202235370,0,primeira_liga
-3,0,0,https://www.besoccer.com/match/lorient/saint-etienne/202216062,0,ligue_1
-7,-7,-7,https://www.besoccer.com/match/stade-reims/stade-rennes/202216071,0,ligue_1
-35,-9,-9,https://www.besoccer.com/match/clermont-foot/paris-saint-germain-fc/202216057,1,ligue_1
4,1,1,https://www.besoccer.com/match/bordeaux/metz/202216050,0,ligue_1
-10,-2,-2,https://www.besoccer.com/match/angers-sco/lillestrom/202216049,0,ligue_1
-10,-2,-2,https://www.besoccer.com/match/stade-brestois-29/nantes/202216053,0,ligue_1
25,1,1,https://www.besoccer.com/match/monaco/troyes/202216068,1,ligue_1
-4,2,2,https://www.besoccer.com/match/lens/nice/202216060,0,ligue_1
-13,3,3,https://www.besoccer.com/match/strasbourg/olympique-lyonnais/202216075,0,ligue_1
7,5,5,https://www.besoccer.com/match/olympique-marsella/montpellier-hsc/202216065,0,ligue_1
1,1,1,https://www.besoccer.com/match/lugo/cartagena/202221457,0,segunda_division
-7,-2,-2,https://www.besoccer.com/match/real-sociedad-b/tenerife/202221467,0,segunda_division
-9,-2,-2,https://www.besoccer.com/match/ad-alcorcon/sporting-gijon/202221437,1,segunda_division
-3,-7,-7,https://www.besoccer.com/match/malaga/valladolid/202221460,0,segunda_division
18,2,2,https://www.besoccer.com/match/ud-palmas/amorebieta/202221453,0,segunda_division
-5,-6,-6,https://www.besoccer.com/match/fuenlabrada/huesca/202221443,0,segunda_division
-7,-9,-9,https://www.besoccer.com/match/real-zaragoza/girona-fc/202221471,1,segunda_division
-14,-7,-7,https://www.besoccer.com/match/ibiza-eivissa/eibar/202221447,0,segunda_division
3,4,4,https://www.besoccer.com/match/mirandes/burgos-cf/202221462,0,segunda_division
-4,5,5,https://www.besoccer.com/match/real-oviedo/leganes/202221464,0,segunda_division
16,3,3,https://www.besoccer.com/match/almeria/ponferradina-sd/202221439,1,segunda_division
-28,4,4,https://www.besoccer.com/match/ssv-jahn-regensburg/fc-ingolstadt-04/202216498,0,2_liga
10,-3,-3,https://www.besoccer.com/match/fortuna-dusseldorf/hansa-rostock/202216497,0,2_liga
-21,0,0,https://www.besoccer.com/match/st-pauli/werder-bremen/202216490,1,2_liga
32,3,3,https://www.besoccer.com/match/schalke-04/heidenheim/202216494,0,2_liga
-12,-4,-4,https://www.besoccer.com/match/fc-erzgebirge-aue/hannover-96/202216495,0,2_liga
0,0,0,https://www.besoccer.com/match/fc-nurnberg/darmstadt-98/202216493,0,2_liga
-33,-5,-5,https://www.besoccer.com/match/holstein-kiel/hamburger-sv/202216491,1,2_liga
-13,-3,-3,https://www.besoccer.com/match/paderborn/karlsruher-sc/202216492,0,2_liga
-2,0,0,https://www.besoccer.com/match/sv-sandhausen/sg-dynamo-dresden/202216496,0,2_liga
12,-2,-2,https://www.besoccer.com/match/empoli-fc/asd-spezia/202249339,0,serie_a
18,1,1,https://www.besoccer.com/match/internazionale/hellas-verona-fc/202249341,0,serie_a
-22,-10,-10,https://www.besoccer.com/match/cagliari/juventus-fc/202249338,1,serie_a
-10,1,1,https://www.besoccer.com/match/genoa/lazio/202249340,0,serie_a
4,2,2,https://www.besoccer.com/match/napoli/fiorentina/202249342,0,serie_a
-4,3,3,https://www.besoccer.com/match/us-sassuolo-calcio/atalanta/202249343,0,serie_a
-36,-7,-7,https://www.besoccer.com/match/venezia/udinese/202249345,1,serie_a
38,7,7,https://www.besoccer.com/match/roma/salernitana-calcio-1919/202249336,0,serie_a
-9,-2,-2,https://www.besoccer.com/match/torino-fc/milan/202249344,0,serie_a
-2,-1,-1,https://www.besoccer.com/match/bologna/sampdoria/202249337,0,serie_a
-29,3,3,https://www.besoccer.com/match/stuttgart/borussia-dortmund/202215795,0,bundesliga
-25,-9,-9,https://www.besoccer.com/match/greuther-furth/borussia-monchengla/202215798,0,bundesliga
-1,-3,-3,https://www.besoccer.com/match/1-fc-koln/mainz-amat/202215801,1,bundesliga
21,4,4,https://www.besoccer.com/match/bayern-munchen/fc-augsburg/202215802,0,bundesliga
30,-1,-1,https://www.besoccer.com/match/wolfsburg/arminia-bielefeld/202215803,0,bundesliga
